a,b,c
"val0,0","val0,1","val0,2"
"val1,0","val1,1","val1,2"
"val2,0","val2,1","val2,2"
"val3,0","val3,1","val3,2"
"val4,0","val4,1","val4,2"
"val5,0","val5,1","val5,2"
"val6,0","val6,1","val6,2"
"val7,0","val7,1","val7,2"
"val8,0","val8,1","val8,2"
"val9,0","val9,1","val9,2"
"val10,0","val10,1","val10,2"
"val11,0","val11,1","val11,2"
"val12,0","val12,1","val12,2"
"val13,0","val13,1","val13,2"
"val14,0","val14,1","val14,2"
"val15,0","val15,1","val15,2"
"val16,0","val16,1","val16,2"
"val17,0","val17,1","val17,2"
"val18,0","val18,1","val18,2"
"val19,0","val19,1","val19,2"
